,geneSymbol,moduleColor,GS.morphology,p.GS.morphology,MM.blue,p.MM.blue,MM.turquoise,p.MM.turquoise,MM.grey,p.MM.grey
hsa-mir-1256,hsa-mir-1256,grey,0.085978691,0.285875,-0.084851312,0.292263186,0.053412723,0.507822363,-0.024084746,0.765365573
hsa-mir-3116-2,hsa-mir-3116-2,grey,0.085745854,0.287186636,0.01465122,0.855950265,0.138209802,0.085319065,0.068510811,0.395426913
hsa-mir-642b,hsa-mir-642b,grey,0.085717773,0.287345091,-0.032735348,0.684974189,-0.003242485,0.967955191,0.057628115,0.474868436
hsa-mir-19b-2,hsa-mir-19b-2,grey,-0.085703646,0.287424833,0.036227266,0.653441195,0.119863721,0.136109678,0.090317173,0.262167854
hsa-mir-10b,hsa-mir-10b,grey,-0.085667232,0.287630441,0.436737603,1.20E-08,0.365461788,2.72E-06,0.172850288,0.03094298
hsa-mir-3648,hsa-mir-3648,grey,0.085530299,0.288404489,0.062422671,0.43884572,0.02285499,0.777023587,0.148297499,0.06466487
hsa-mir-512-2,hsa-mir-512-2,grey,-0.08538685,0.289216867,0.042708575,0.59654086,0.176984828,0.027088517,0.519598091,3.64E-12
hsa-mir-520g,hsa-mir-520g,grey,-0.085091883,0.29089211,0.138210364,0.085317783,0.271251931,0.000614496,0.315321542,6.09E-05
hsa-mir-3138,hsa-mir-3138,grey,-0.084884585,0.292073303,-0.129436498,0.107301517,-0.107190726,0.182897963,-0.054114564,0.502254491
hsa-mir-326,hsa-mir-326,grey,-0.08486277,0.292197787,0.261586896,0.000971781,0.470349128,5.81E-10,0.452880238,2.92E-09
hsa-mir-505,hsa-mir-505,grey,-0.084345668,0.295158978,0.290960093,0.00022878,0.432638068,1.70E-08,0.498953881,3.37E-11
hsa-let-7g,hsa-let-7g,grey,0.084244928,0.295738178,0.056613124,0.482695306,0.316526017,5.68E-05,-0.021785075,0.787207026
hsa-mir-574,hsa-mir-574,grey,-0.083913335,0.297649968,0.312749324,7.04E-05,0.516456374,5.16E-12,0.273039258,0.000563506
hsa-mir-3115,hsa-mir-3115,grey,0.083889795,0.297785994,-0.037988099,0.637765521,0.062211182,0.440401177,0.107513408,0.181576119
hsa-mir-3939,hsa-mir-3939,grey,0.083889795,0.297785994,-0.014738845,0.855098151,0.118595515,0.140332617,0.017316895,0.830106843
hsa-mir-942,hsa-mir-942,grey,0.083780267,0.29841946,0.186751623,0.019577773,0.309656455,8.37E-05,0.279634165,0.000407257
hsa-mir-892b,hsa-mir-892b,grey,0.083470048,0.300218475,0.090191041,0.262837519,0.167024964,0.037157808,0.108746831,0.176588166
hsa-mir-1-2,hsa-mir-1-2,grey,0.083259197,0.30144531,0.028870758,0.720515326,0.140290679,0.080674292,-0.047836677,0.553171577
hsa-mir-500b,hsa-mir-500b,grey,0.082724559,0.304570902,0.180483046,0.024155233,0.368097007,2.27E-06,0.173865927,0.029955354
hsa-mir-130b,hsa-mir-130b,grey,-0.082709972,0.304656475,-0.042577886,0.597665879,-0.047146577,0.558917746,0.194015597,0.015229652
hsa-mir-133b,hsa-mir-133b,grey,0.082663848,0.304927174,0.075244502,0.350526047,0.087938727,0.274992611,0.01251606,0.876762696
hsa-mir-3925,hsa-mir-3925,grey,0.082635478,0.305093748,-0.081346905,0.312722757,-0.000384861,0.996195497,0.020427929,0.800176131
hsa-mir-3692,hsa-mir-3692,grey,0.082635478,0.305093748,0.145706007,0.069534744,0.29357722,0.000199545,0.107488434,0.181678171
hsa-mir-1278,hsa-mir-1278,grey,0.082560942,0.305531677,-0.018511591,0.818581472,0.075243389,0.350533188,0.053502857,0.507105517
hsa-mir-3129,hsa-mir-3129,grey,0.082258445,0.307313214,0.164395828,0.040289953,0.400349378,2.24E-07,0.147621817,0.065906912
hsa-mir-3612,hsa-mir-3612,grey,0.08167155,0.31078907,0.187642822,0.018992184,0.1553118,0.05286684,-0.055801525,0.489003351
hsa-mir-607,hsa-mir-607,grey,0.081515961,0.311714828,0.163385681,0.04155093,0.17123546,0.032570215,0.170652326,0.033175399
hsa-mir-18a,hsa-mir-18a,grey,-0.080490232,0.317862958,0.199519177,0.012520961,0.26159324,0.000971494,0.374814303,1.43E-06
hsa-mir-320c-2,hsa-mir-320c-2,grey,-0.080176317,0.319760158,0.13470536,0.093622977,0.189183723,0.01801543,0.079377616,0.324620241
hsa-mir-3923,hsa-mir-3923,grey,0.079251986,0.325389009,0.230497961,0.003793402,0.287350644,0.000275662,0.067436611,0.40289523
hsa-mir-3176,hsa-mir-3176,grey,0.078866145,0.32775741,-0.013314856,0.868965775,0.064319554,0.42503505,0.121220847,0.131698993
hsa-mir-3928,hsa-mir-3928,grey,-0.078599009,0.329403636,0.249241329,0.001703048,0.338606521,1.54E-05,0.401855441,2.00E-07
hsa-mir-345,hsa-mir-345,grey,-0.078506361,0.329975817,0.246919533,0.001886879,0.260911624,0.00100277,0.376238326,1.30E-06
hsa-mir-3155,hsa-mir-3155,grey,0.078326176,0.33109044,0.012837014,0.873628443,0.214615687,0.007136333,-0.040334085,0.617128259
hsa-mir-378b,hsa-mir-378b,grey,0.078127794,0.332320417,-0.031229658,0.698744595,0.103802864,0.197204571,0.105270614,0.190909876
hsa-mir-374c,hsa-mir-374c,grey,0.078012306,0.333037792,0.054154192,0.50194107,0.124073856,0.122785223,0.286763737,0.00028408
hsa-mir-133a-2,hsa-mir-133a-2,grey,0.077972929,0.33328261,0.020396824,0.800474032,0.075057411,0.351728613,0.035705679,0.658114212
hsa-mir-190b,hsa-mir-190b,grey,0.077664869,0.335201913,0.114475584,0.154741153,0.106099834,0.18741902,0.18272275,0.022424011
hsa-mir-3199-1,hsa-mir-3199-1,grey,0.077601831,0.335595528,0.137310303,0.087392026,0.422855746,3.82E-08,-0.008413133,0.916981482
hsa-mir-520c,hsa-mir-520c,grey,-0.077378073,0.336995064,-0.014461746,0.857793363,0.144076738,0.072746244,0.211972315,0.007895687
hsa-mir-548d-2,hsa-mir-548d-2,grey,0.077230208,0.337921942,0.024517935,0.761271325,0.203383967,0.010880665,0.097243948,0.227173164
hsa-mir-365-1,hsa-mir-365-1,grey,-0.077207127,0.338066773,0.047755594,0.553845233,0.177637704,0.026519046,0.058582474,0.467572513
hsa-mir-451,hsa-mir-451,grey,-0.077102167,0.338725871,0.103914771,0.196719407,0.023403522,0.771817219,0.003810049,0.962349885
hsa-mir-1227,hsa-mir-1227,grey,-0.077096921,0.338758836,-0.006258556,0.938192842,0.04390685,0.586270502,0.007398614,0.926962844
hsa-mir-518a-2,hsa-mir-518a-2,grey,0.076606115,0.341851881,0.099149793,0.21815174,0.129424045,0.10733561,0.631275826,1.01E-18
hsa-mir-526b,hsa-mir-526b,grey,0.076603519,0.341868287,0.118290668,0.141362433,0.231408147,0.003653793,0.773106196,2.94E-32
hsa-mir-27b,hsa-mir-27b,grey,0.076594644,0.341924386,0.276671377,0.000471694,0.493347827,6.01E-11,0.169195722,0.034728845
hsa-mir-4326,hsa-mir-4326,grey,-0.076334623,0.343570475,0.075444531,0.34924317,0.230559124,0.003783872,0.209323382,0.008727686
hsa-mir-548k,hsa-mir-548k,grey,0.076262215,0.344029758,0.161559498,0.043914573,0.26018032,0.001037349,0.321457646,4.28E-05
hsa-mir-3679,hsa-mir-3679,grey,0.076113004,0.34497741,-0.004139545,0.959096595,0.128731827,0.109244076,0.166544809,0.037713996
hsa-mir-29c,hsa-mir-29c,grey,0.075948269,0.346025572,0.332113631,2.28E-05,0.388646067,5.34E-07,0.130586596,0.10418937
hsa-mir-15b,hsa-mir-15b,grey,-0.075243858,0.350530178,0.286384052,0.000289651,0.46037905,1.48E-09,0.302745782,0.00012232
hsa-mir-1909,hsa-mir-1909,grey,0.075008609,0.352042724,-0.012863989,0.873365115,0.093062369,0.247881667,0.001715365,0.983044146
hsa-mir-320a,hsa-mir-320a,grey,-0.074811173,0.353315307,0.2629093,0.000913625,0.510888522,9.48E-12,0.199407707,0.012571327
hsa-mir-3137,hsa-mir-3137,grey,-0.074789685,0.353453981,0.0145672,0.856767465,0.148228599,0.064790641,0.165439165,0.039021437
hsa-mir-582,hsa-mir-582,grey,-0.074589114,0.354750031,0.227449679,0.004296602,0.217764642,0.006316981,0.184312418,0.021261037
hsa-mir-943,hsa-mir-943,grey,0.074582357,0.354793744,0.05608115,0.486825047,0.235772366,0.003046561,0.092388094,0.251339615
hsa-mir-1251,hsa-mir-1251,grey,0.074501368,0.355317959,0.152759412,0.056935102,0.121786738,0.129892578,0.150939026,0.059991455
hsa-mir-490,hsa-mir-490,grey,0.074108846,0.357865482,0.013303697,0.869074609,0.037700439,0.640315689,-0.016398004,0.838996324
hsa-mir-3911,hsa-mir-3911,grey,0.073592065,0.361236772,0.029318523,0.716364891,0.181603098,0.023275634,0.16824499,0.035775616
hsa-mir-573,hsa-mir-573,grey,0.073588769,0.361258338,-0.022854155,0.777031521,0.112053818,0.163714785,0.060408272,0.453787601
