,geneSymbol,moduleColor,GS.morphology,p.GS.morphology,MM.blue,p.MM.blue,MM.turquoise,p.MM.turquoise,MM.grey,p.MM.grey
hsa-mir-34b,hsa-mir-34b,grey,0.058571791,0.467653837,0.108762976,0.176523554,0.411286646,9.63E-08,0.068534577,0.395262626
hsa-mir-141,hsa-mir-141,grey,-0.057932987,0.472531036,0.161382361,0.044149708,-0.008269695,0.918391948,0.042692867,0.596676027
hsa-mir-34a,hsa-mir-34a,grey,-0.057916759,0.472655295,0.217744672,0.006321901,0.473742787,4.20E-10,0.242751802,0.002262713
hsa-mir-3611,hsa-mir-3611,grey,-0.057682288,0.474452644,0.150889796,0.060075946,-0.029657351,0.713229721,-0.081031337,0.314609885
hsa-mir-3135,hsa-mir-3135,grey,0.057456544,0.476186599,0.047377359,0.556992926,-0.000940851,0.990699495,0.001733893,0.982861031
hsa-mir-606,hsa-mir-606,grey,0.057456544,0.476186599,-0.130758981,0.103729079,-0.174975323,0.028907344,-0.060193904,0.455394236
hsa-mir-1267,hsa-mir-1267,grey,0.057456544,0.476186599,-0.058934394,0.464897747,0.029831834,0.711617094,0.158784375,0.047720933
hsa-mir-521-2,hsa-mir-521-2,grey,0.057456544,0.476186599,0.05630481,0.485086467,0.068908083,0.392686025,0.274575215,0.000522835
hsa-mir-3116-1,hsa-mir-3116-1,grey,0.057456544,0.476186599,-0.002918626,0.971154365,0.032936586,0.683141458,0.067284684,0.40395821
hsa-mir-890,hsa-mir-890,grey,0.057456544,0.476186599,-0.013221485,0.869876519,0.012742475,0.87455146,0.001923001,0.980992095
hsa-mir-342,hsa-mir-342,grey,0.0572795,0.477548893,0.287016823,0.000280421,0.448186433,4.44E-09,0.244434691,0.002103461
hsa-mir-124-3,hsa-mir-124-3,grey,0.057033702,0.479443721,0.198707742,0.012891672,0.27936712,0.000412713,0.209185935,0.008772899
hsa-mir-1270-1,hsa-mir-1270-1,grey,0.056527763,0.483356694,0.038223252,0.635683978,0.128554121,0.109738279,0.197194577,0.013608723
hsa-mir-3664,hsa-mir-3664,grey,0.056157443,0.486231626,-0.041997517,0.602673399,0.034170141,0.67194785,0.161983052,0.043356582
hsa-mir-138-1,hsa-mir-138-1,grey,0.055684194,0.489918919,-0.020839856,0.796233743,0.067625982,0.401572599,0.160396814,0.045477233
hsa-mir-3667,hsa-mir-3667,grey,0.055430033,0.491905328,0.027716419,0.731252568,0.095367446,0.236309936,0.266283497,0.000779405
hsa-mir-3181,hsa-mir-3181,grey,0.054861165,0.496366815,0.141858349,0.077311144,0.147552535,0.066035359,0.512105449,8.31E-12
hsa-mir-549,hsa-mir-549,grey,0.054777044,0.497028367,-0.162185632,0.043091807,0.067291577,0.403909945,-0.010527661,0.89622106
hsa-mir-518c,hsa-mir-518c,grey,0.054510892,0.499124516,0.144608559,0.071684997,0.24870365,0.001744105,0.779968317,3.69E-33
hsa-mir-550b-1,hsa-mir-550b-1,grey,0.054418042,0.499856869,-0.019003987,0.813842396,0.022314426,0.782164045,0.160019676,0.045993972
hsa-mir-2276,hsa-mir-2276,grey,0.054278613,0.500957681,-0.035490317,0.660047566,0.070277729,0.383324247,0.131400528,0.102030114
hsa-mir-3655,hsa-mir-3655,grey,-0.054145426,0.502010393,0.126497071,0.115587118,0.179781781,0.024720355,0.147705881,0.065751332
hsa-mir-224,hsa-mir-224,grey,-0.053831316,0.504497714,-0.08774467,0.276057375,0.138606906,0.084416525,0.090412047,0.261664918
hsa-mir-1910,hsa-mir-1910,grey,0.053730127,0.50530036,-0.008825562,0.912927413,0.053893754,0.504002777,0.030159941,0.708588097
hsa-mir-20b,hsa-mir-20b,grey,0.053659301,0.505862553,0.135298717,0.092173523,0.159745157,0.046373178,0.174841802,0.029031799
hsa-mir-675,hsa-mir-675,grey,0.053643745,0.505986082,0.240982239,0.002441895,0.188860546,0.018216597,0.208786032,0.008905629
hsa-mir-622,hsa-mir-622,grey,0.053615243,0.506212441,-0.032383818,0.688180076,0.02966738,0.713136992,-0.06171639,0.444052456
hsa-mir-511-1,hsa-mir-511-1,grey,-0.053517426,0.506989701,0.226547838,0.004456554,0.420588993,4.59E-08,0.260481906,0.001022958
hsa-mir-211,hsa-mir-211,grey,-0.053484981,0.507247648,0.289240969,0.000250099,0.252837594,0.001450311,0.022226384,0.783002172
hsa-mir-1181,hsa-mir-1181,grey,-0.052198157,0.517533055,0.274582667,0.000522645,0.272862033,0.000568382,0.14879017,0.06377135
hsa-mir-365-2,hsa-mir-365-2,grey,-0.051889001,0.520019924,0.026980214,0.73812795,0.174134749,0.029698481,0.056326545,0.484917688
hsa-mir-612,hsa-mir-612,grey,0.051589349,0.52243615,0.026944362,0.738463306,0.052283731,0.516845777,-0.005067098,0.949942137
hsa-mir-3614,hsa-mir-3614,grey,0.051496468,0.523186247,0.156704047,0.050751089,0.36688667,2.47E-06,0.258169503,0.001138139
hsa-mir-216a,hsa-mir-216a,grey,-0.051388108,0.524062052,-0.103590937,0.198125741,-0.238104379,0.002760911,0.003452403,0.965881829
hsa-mir-527,hsa-mir-527,grey,0.051243655,0.525230719,0.121831993,0.129748942,0.200047834,0.012284498,0.686458255,4.57E-23
hsa-mir-1265,hsa-mir-1265,grey,0.051221368,0.52541114,0.170504487,0.033330335,0.278974923,0.000420847,0.059152939,0.463240947
hsa-mir-3165,hsa-mir-3165,grey,0.051221368,0.52541114,-0.012116887,0.880663456,0.123558148,0.124360947,0.045108343,0.576054859
hsa-mir-3938,hsa-mir-3938,grey,0.051221368,0.52541114,0.083136424,0.302161185,0.065048127,0.419798084,-0.04667495,0.562861221
hsa-mir-1252,hsa-mir-1252,grey,0.051221368,0.52541114,-0.011659806,0.885133609,0.114963952,0.15297725,0.021852455,0.786564619
hsa-mir-922,hsa-mir-922,grey,0.051221368,0.52541114,-0.058333831,0.469467397,-0.070673457,0.380644786,-0.093356446,0.246383901
hsa-mir-3159,hsa-mir-3159,grey,0.051221368,0.52541114,0.019184728,0.81210453,0.10265684,0.202223081,-0.035483715,0.660106872
hsa-mir-603,hsa-mir-603,grey,-0.051188558,0.525676818,0.114884651,0.153262638,0.139442815,0.082541668,0.252719042,0.001458065
hsa-mir-3179-3,hsa-mir-3179-3,grey,-0.051188558,0.525676818,-0.01280205,0.873969791,0.01423575,0.859992742,0.000101672,0.998994931
hsa-mir-371,hsa-mir-371,grey,-0.051188558,0.525676818,-0.026540655,0.742242925,0.03885567,0.630100071,-0.063172697,0.433354719
hsa-mir-219-2,hsa-mir-219-2,grey,0.050584308,0.530581749,0.149642596,0.062249235,0.270806399,0.000627852,0.039102031,0.627930463
hsa-mir-514b,hsa-mir-514b,grey,-0.050380879,0.53223822,0.112981545,0.160232361,0.089087321,0.268747301,-0.045398285,0.573602159
hsa-mir-301a,hsa-mir-301a,grey,-0.050375252,0.532284072,0.361224852,3.61E-06,0.435293185,1.36E-08,0.417765894,5.76E-08
hsa-mir-1914,hsa-mir-1914,grey,0.050343091,0.5325462,0.080092235,0.320269566,0.133725737,0.096055561,0.058503128,0.468176741
hsa-mir-561,hsa-mir-561,grey,0.049728299,0.537569459,-0.130202617,0.105220417,-0.008551891,0.915617284,0.021943176,0.785699901
hsa-mir-765,hsa-mir-765,grey,0.049703357,0.53777375,0.170576028,0.033255284,0.267096863,0.000749886,0.170965414,0.032849299
hsa-mir-1305,hsa-mir-1305,grey,0.049315752,0.540953403,0.132588373,0.098942389,0.316188269,5.79E-05,0.204475178,0.010453182
hsa-mir-3170,hsa-mir-3170,grey,-0.04929545,0.541120207,0.07699731,0.339385136,0.188068942,0.018717591,0.152317896,0.057664346
hsa-mir-486,hsa-mir-486,grey,0.049164677,0.542195237,0.167530141,0.036580117,0.12583946,0.117507243,0.004514648,0.955393816
hsa-mir-3907,hsa-mir-3907,grey,-0.049067755,0.542992681,0.041787116,0.604493379,0.107041183,0.183512948,0.029858325,0.711372366
hsa-mir-516a-2,hsa-mir-516a-2,grey,0.048874071,0.544587966,-0.021317524,0.791668622,0.0711869,0.377185314,0.262987495,0.000910288
hsa-mir-2278,hsa-mir-2278,grey,-0.048733081,0.545750691,0.009085208,0.9103763,0.061351888,0.446753189,0.146331762,0.068332354
hsa-mir-1258,hsa-mir-1258,grey,0.048562915,0.547155642,0.256250439,0.001242612,0.373310911,1.59E-06,0.130903753,0.103343757
hsa-mir-3937,hsa-mir-3937,grey,0.048331555,0.549068674,-0.008713649,0.914027272,0.1129885,0.160206465,-0.001754232,0.982660021
hsa-mir-3663,hsa-mir-3663,grey,0.048331555,0.549068674,0.057836717,0.473268439,0.100898016,0.210103296,0.240618393,0.002480294
hsa-mir-4284,hsa-mir-4284,grey,0.048331555,0.549068674,0.001329266,0.986860225,-0.02504261,0.756321254,0.017152499,0.831695687
hsa-mir-518f,hsa-mir-518f,grey,0.048221919,0.549976352,0.097584142,0.225543819,0.215394631,0.006925311,0.40493377,1.58E-07
hsa-mir-3688,hsa-mir-3688,grey,-0.048087634,0.551089099,0.131033568,0.102999204,0.15989851,0.046161024,-0.057252978,0.477753154
hsa-mir-1284,hsa-mir-1284,grey,-0.048086729,0.551096602,0.212730061,0.007671004,0.207705125,0.009273315,0.155054713,0.053265401
hsa-mir-892a,hsa-mir-892a,grey,-0.04770626,0.554255304,0.20259382,0.011199736,0.260517093,0.001021291,0.23685454,0.002910842
hsa-mir-937,hsa-mir-937,grey,-0.047384561,0.556932909,0.007390226,0.927045421,0.176700828,0.027339479,0.311563796,7.52E-05
hsa-mir-3940,hsa-mir-3940,grey,0.047015769,0.560010155,0.185281835,0.02057767,0.242662988,0.002271414,0.223449816,0.005047524
hsa-mir-548y,hsa-mir-548y,grey,0.046712852,0.562543813,0.119068014,0.13874775,0.084463197,0.29448421,0.282742461,0.000348482
hsa-mir-1266,hsa-mir-1266,grey,0.046569334,0.56374614,-0.059580029,0.460012582,0.107610852,0.18117833,0.175301505,0.028605221
hsa-mir-3682,hsa-mir-3682,grey,0.046480875,0.564487812,0.19456942,0.014935706,0.198659589,0.012913971,0.183416582,0.021909847
hsa-mir-339,hsa-mir-339,grey,-0.046209737,0.566764043,0.307602727,9.38E-05,0.233978888,0.003284116,0.236288522,0.002981131
hsa-mir-3912,hsa-mir-3912,grey,0.045529804,0.572491223,0.297288623,0.000164005,0.461010038,1.39E-09,0.341199005,1.31E-05
hsa-mir-581,hsa-mir-581,grey,-0.045391384,0.57366048,0.31571498,5.95E-05,0.225277327,0.004690961,0.090085633,0.263398051
hsa-mir-875,hsa-mir-875,grey,0.045354881,0.573969012,-0.009550124,0.905810632,-0.00115764,0.988556627,0.000100013,0.999011333
hsa-mir-548q,hsa-mir-548q,grey,0.045298337,0.574447093,0.203094864,0.010996468,0.271464419,0.000608219,0.267643621,0.000730624
hsa-mir-891a,hsa-mir-891a,grey,0.044788069,0.578769828,0.191564292,0.016592086,0.342296554,1.22E-05,0.168121076,0.03591399
hsa-mir-221,hsa-mir-221,grey,0.044787342,0.578776001,0.051015594,0.527078484,0.28352488,0.000334979,0.092061072,0.253028652
hsa-mir-3662,hsa-mir-3662,grey,0.044391518,0.58213963,0.014554499,0.856891014,0.077156591,0.338384011,0.186265313,0.019903854
hsa-mir-184,hsa-mir-184,grey,0.044312345,0.582813505,-0.009356341,0.907713299,0.119374688,0.13772643,-0.089249185,0.267875005
hsa-mir-933,hsa-mir-933,grey,0.044213804,0.583652737,0.036588532,0.650212391,0.025074118,0.756024303,0.008106919,0.919992886
hsa-mir-3929,hsa-mir-3929,grey,0.044213804,0.583652737,0.037874093,0.6387757,0.042222852,0.600726949,0.058181933,0.470627071
hsa-mir-3180-1,hsa-mir-3180-1,grey,0.044213804,0.583652737,0.071346751,0.376112202,0.191153054,0.016830743,0.431025978,1.94E-08
hsa-mir-548w,hsa-mir-548w,grey,0.044213804,0.583652737,0.089423495,0.266937796,0.124768332,0.120687737,-0.019300536,0.810991492
hsa-mir-2117,hsa-mir-2117,grey,0.044213804,0.583652737,0.008183926,0.919235467,-0.047354149,0.557186369,0.057614283,0.474974631
hsa-mir-609,hsa-mir-609,grey,0.044213804,0.583652737,0.017536109,0.827989268,0.086120307,0.285079204,0.1357742,0.091024941
hsa-mir-623,hsa-mir-623,grey,0.044213804,0.583652737,0.056175325,0.486092588,0.068913315,0.392650005,0.034714503,0.667030804
hsa-mir-621,hsa-mir-621,grey,0.044213804,0.583652737,-0.06484051,0.421286591,0.013482944,0.867326666,-0.011940581,0.882387248
hsa-mir-3675,hsa-mir-3675,grey,0.044213804,0.583652737,0.007152838,0.929382687,-0.033800734,0.675292543,0.032732215,0.685002739
hsa-mir-3659,hsa-mir-3659,grey,0.044213804,0.583652737,0.03449707,0.668993123,0.061628761,0.444700889,0.056792106,0.481310109
hsa-mir-135a-1,hsa-mir-135a-1,grey,0.044162958,0.584085991,-0.033619998,0.67693128,0.063650643,0.429876268,-0.07739755,0.336873093
hsa-mir-2114,hsa-mir-2114,grey,0.044134144,0.584331579,0.078830772,0.327975088,-0.058875209,0.465346992,0.105732239,0.18896072
hsa-mir-523,hsa-mir-523,grey,0.043915,0.586200932,0.110494251,0.169695763,0.090889525,0.259143781,0.58040331,2.00E-15
hsa-mir-550b-2,hsa-mir-550b-2,grey,0.043571434,0.589137147,-0.050815051,0.528706006,-0.028116083,0.727529011,-0.107340056,0.18228537
hsa-mir-628,hsa-mir-628,grey,0.043408964,0.590527996,0.311136446,7.70E-05,0.401781114,2.01E-07,0.451873715,3.20E-09
hsa-mir-720,hsa-mir-720,grey,-0.043273692,0.59168716,-0.003489506,0.965515382,0.016788929,0.835211901,-0.044553767,0.580759777
hsa-mir-3684,hsa-mir-3684,grey,-0.042813048,0.595642206,0.005987354,0.940866158,0.127800683,0.111853057,0.179523242,0.024931543
hsa-mir-3617,hsa-mir-3617,grey,-0.042391366,0.599273159,0.033744412,0.675803053,0.097943062,0.223833765,0.057618804,0.474939922
hsa-mir-2355,hsa-mir-2355,grey,-0.041836226,0.604068359,0.126024492,0.116964487,0.332964601,2.17E-05,0.386362977,6.30E-07
hsa-mir-517c,hsa-mir-517c,grey,0.041810231,0.604293315,0.124746482,0.1207533,0.204270152,0.010532354,0.740706001,2.15E-28
hsa-mir-3914-1,hsa-mir-3914-1,grey,0.04163984,0.605768778,0.103285623,0.199458306,0.106063647,0.187570379,-0.040084288,0.619311869
hsa-mir-190,hsa-mir-190,grey,0.041504789,0.606939354,0.249477012,0.00168533,0.468871106,6.69E-10,0.028189382,0.726846792
hsa-mir-106b,hsa-mir-106b,grey,-0.040544093,0.615295053,0.225145894,0.00471583,0.450125788,3.74E-09,0.338993694,1.50E-05
hsa-mir-302a,hsa-mir-302a,grey,0.040422701,0.616354425,0.201244502,0.01176366,0.228326279,0.004146086,0.664319118,3.26E-21
hsa-mir-24-1,hsa-mir-24-1,grey,-0.040347279,0.617013019,0.155877502,0.05199852,0.346907318,9.14E-06,0.19149114,0.016634322
hsa-mir-338,hsa-mir-338,grey,0.040027241,0.619811017,0.251680228,0.001527642,0.254703892,0.001333107,-0.019411603,0.809924374
hsa-mir-9-2,hsa-mir-9-2,grey,0.039992512,0.620114967,0.166554196,0.037703055,0.139388915,0.082661544,0.199939455,0.012332653
hsa-mir-3144,hsa-mir-3144,grey,-0.039975411,0.620264669,-0.027104563,0.736965188,0.012178807,0.880058171,0.122009561,0.129186541
hsa-mir-548o,hsa-mir-548o,grey,0.039908511,0.620850433,0.089491108,0.266574859,0.304460543,0.000111419,0.167819506,0.036252641
hsa-mir-215,hsa-mir-215,grey,0.039900959,0.620916567,-0.022554268,0.779882103,0.027515689,0.733125084,0.056122284,0.486505048
hsa-mir-492,hsa-mir-492,grey,0.039840769,0.621443807,-0.032770982,0.684649529,-0.029305971,0.716481128,-0.080400558,0.318404174
hsa-mir-25,hsa-mir-25,grey,0.038962775,0.629156448,0.276202895,0.000482705,0.495077629,5.04E-11,0.436402832,1.23E-08
hsa-mir-624,hsa-mir-624,grey,-0.038865027,0.630017608,0.278258178,0.000436097,0.321085985,4.37E-05,0.248147599,0.001787511
hsa-mir-512-1,hsa-mir-512-1,grey,-0.038670622,0.6317318,0.012313046,0.878746203,0.183094545,0.022147216,0.564837633,1.59E-14
hsa-mir-3920,hsa-mir-3920,grey,0.038552138,0.632777507,0.00643697,0.936434543,0.064733184,0.422057259,-0.00993681,0.902015563
hsa-mir-3174,hsa-mir-3174,grey,-0.038532303,0.632952638,0.026243097,0.745032695,0.164681267,0.039939515,0.192814657,0.015884438
hsa-mir-203,hsa-mir-203,grey,0.038476814,0.63344268,-0.083879884,0.297843284,0.14735316,0.066406138,0.029411396,0.715505068
hsa-mir-3192,hsa-mir-3192,grey,0.038315168,0.634871127,-0.031497384,0.696288749,-0.024677914,0.759760956,-0.024949571,0.757198322
hsa-mir-363,hsa-mir-363,grey,0.038089268,0.636869635,0.199352339,0.01259641,0.219658006,0.005865709,0.146458596,0.068090716
hsa-mir-9-1,hsa-mir-9-1,grey,0.038014976,0.637527458,0.16643932,0.037837125,0.139518622,0.082373307,0.200864161,0.011927057
hsa-mir-16-2,hsa-mir-16-2,grey,-0.037534387,0.641789695,0.176790974,0.027259605,0.224737937,0.004793776,0.193227388,0.015656692
hsa-mir-1255a,hsa-mir-1255a,grey,0.037109937,0.645563794,-0.043253167,0.591863128,0.031424161,0.696960106,-0.077014697,0.339275766
hsa-mir-302d,hsa-mir-302d,grey,0.037040373,0.646183208,0.195303498,0.014553724,0.236273507,0.002983016,0.655196924,1.71E-20
hsa-mir-511-2,hsa-mir-511-2,grey,-0.037031715,0.646260322,0.221239332,0.005511103,0.393171469,3.83E-07,0.278388179,0.000433294
hsa-mir-548b,hsa-mir-548b,grey,0.036979901,0.64672186,0.270794651,0.000628208,0.228952094,0.004041548,0.389561008,5.00E-07
hsa-mir-3127,hsa-mir-3127,grey,0.036896466,0.647465352,0.119196096,0.138320496,0.378352894,1.12E-06,0.323744018,3.75E-05
hsa-mir-320c-1,hsa-mir-320c-1,grey,0.036686257,0.649340087,0.135366434,0.092009245,0.382021468,8.61E-07,0.10508372,0.191703167
hsa-mir-302c,hsa-mir-302c,grey,0.036677634,0.649417038,0.203887144,0.01068167,0.214951023,0.007044797,0.675935743,3.64E-22
hsa-mir-200b,hsa-mir-200b,grey,0.036592655,0.650175581,-0.088654741,0.271087972,0.154343101,0.054381587,0.076425594,0.342994007
hsa-mir-197,hsa-mir-197,grey,-0.036391236,0.651974912,0.222746372,0.005191113,0.515143368,5.96E-12,0.403257049,1.79E-07
hsa-mir-3661,hsa-mir-3661,grey,-0.036359059,0.652262554,0.036337736,0.65245319,0.096393087,0.231284655,0.005738035,0.943324353
hsa-mir-3179-2,hsa-mir-3179-2,grey,-0.036359059,0.652262554,0.136748296,0.088707506,0.045002981,0.576947356,0.040139252,0.618831114
hsa-mir-650,hsa-mir-650,grey,0.03598302,0.655627789,-0.027103847,0.736971883,-0.105367358,0.190500176,-0.057389259,0.47670409
hsa-mir-3168,hsa-mir-3168,grey,0.03598302,0.655627789,0.032136127,0.69044231,0.106581213,0.18541404,-0.026982559,0.738106014
hsa-mir-1302-3,hsa-mir-1302-3,grey,0.03598302,0.655627789,0.053828147,0.50452284,0.023235022,0.773415455,-0.033061615,0.682003714
hsa-mir-510,hsa-mir-510,grey,0.03598302,0.655627789,-0.076639595,0.341640322,0.032340987,0.688571069,-0.027488737,0.733376627
hsa-mir-1257,hsa-mir-1257,grey,0.03598302,0.655627789,-0.084626115,0.293550538,0.032697414,0.685319873,0.068749771,0.393776891
hsa-mir-3668,hsa-mir-3668,grey,0.03598302,0.655627789,-0.10843877,0.177824384,-0.061044629,0.449036949,-0.024950134,0.757193015
hsa-mir-663b,hsa-mir-663b,grey,0.03598302,0.655627789,-0.025803583,0.749159446,0.159955295,0.046082671,-0.079388659,0.324552719
hsa-mir-3927,hsa-mir-3927,grey,0.03598302,0.655627789,-0.036595004,0.650154604,-0.050033766,0.535070653,-0.031934816,0.692282965
hsa-mir-3202-1,hsa-mir-3202-1,grey,0.03598302,0.655627789,-0.064816385,0.421459754,-0.059559115,0.460170385,-0.026791731,0.73989155
hsa-mir-657,hsa-mir-657,grey,0.03598302,0.655627789,0.076587036,0.341972478,0.198903564,0.01280134,-0.029867055,0.711291727
hsa-mir-3685,hsa-mir-3685,grey,0.03598302,0.655627789,0.016967145,0.833487905,-0.03638031,0.652072577,-0.047658921,0.554648931
hsa-mir-567,hsa-mir-567,grey,0.03598302,0.655627789,-0.097914463,0.223969683,-0.03049798,0.705472172,-0.042329844,0.599803739
hsa-mir-4322,hsa-mir-4322,grey,0.03598302,0.655627789,0.099581773,0.216142882,0.049444977,0.539892298,-0.045092687,0.576187439
hsa-mir-941-1,hsa-mir-941-1,grey,0.03598302,0.655627789,-0.009402601,0.907259047,-0.052074992,0.518523076,-0.044181809,0.583925346
hsa-mir-1322,hsa-mir-1322,grey,0.03598302,0.655627789,0.148969198,0.063449173,0.22429376,0.004879953,0.586110738,9.12E-16
hsa-mir-3148,hsa-mir-3148,grey,0.03598302,0.655627789,0.015245499,0.850174512,0.045714612,0.570931867,-0.039432711,0.625023296
hsa-mir-3622b,hsa-mir-3622b,grey,0.03598302,0.655627789,-0.047231741,0.558207065,-0.162542213,0.042629037,-0.054385221,0.500115882
hsa-mir-885,hsa-mir-885,grey,0.035770417,0.657533483,0.344269846,1.08E-05,0.266701902,0.000764089,0.024735497,0.759217544
hsa-mir-616,hsa-mir-616,grey,-0.035593806,0.659118237,0.0646547,0.422621348,0.303097489,0.000120006,0.237351301,0.002850391
hsa-mir-429,hsa-mir-429,grey,0.03538981,0.660950616,-0.097301955,0.226894756,0.039375898,0.62552236,0.083747598,0.298608575
hsa-mir-1283-1,hsa-mir-1283-1,grey,0.035331811,0.661471947,0.059633836,0.459606744,0.138447788,0.084777247,0.449723062,3.87E-09
hsa-mir-555,hsa-mir-555,grey,-0.035291713,0.661832476,0.039244095,0.626680808,0.049653498,0.53818224,-0.106663104,0.185074528
hsa-mir-187,hsa-mir-187,grey,-0.035217669,0.662498422,0.197238365,0.013587493,0.019713258,0.807027882,0.158455754,0.048189331
hsa-mir-200c,hsa-mir-200c,grey,0.034636062,0.667738473,0.047658786,0.554650051,0.109521564,0.173507295,0.073197312,0.363825238
hsa-mir-3650,hsa-mir-3650,grey,0.034114345,0.672452632,-0.026969114,0.738231777,-0.014709112,0.855387274,-0.040873431,0.612424981
hsa-mir-208b,hsa-mir-208b,grey,0.034114345,0.672452632,0.188040762,0.018735644,0.233566903,0.003340992,0.597832835,1.73E-16
hsa-mir-1290,hsa-mir-1290,grey,0.034114345,0.672452632,-0.058181669,0.470629086,-0.055747734,0.489422981,-0.026811851,0.73970323
hsa-mir-618,hsa-mir-618,grey,-0.034098378,0.672597109,0.101220342,0.20864292,0.112633819,0.16153107,0.030306227,0.707239084
hsa-mir-302b,hsa-mir-302b,grey,0.033977887,0.673687764,0.15210409,0.05802024,0.187571579,0.019038433,0.634620094,5.83E-19
hsa-mir-2277,hsa-mir-2277,grey,-0.033870639,0.674659122,0.160618269,0.045176068,0.214069961,0.00728756,0.16842566,0.035574669
hsa-mir-3942,hsa-mir-3942,grey,0.033822311,0.675097003,0.350688071,7.18E-06,0.412744746,8.58E-08,0.246165468,0.001950357
hsa-mir-372,hsa-mir-372,grey,0.033755366,0.675703749,0.160661411,0.045117592,0.272977049,0.000565213,0.229872597,0.003892086
hsa-mir-1538,hsa-mir-1538,grey,0.033510611,0.677923839,0.194095734,0.015186809,0.35845243,4.33E-06,0.119421007,0.137572672
hsa-mir-1-1,hsa-mir-1-1,grey,0.033456777,0.678412516,-0.018275913,0.820852099,0.064142379,0.426314261,0.037224934,0.644540379
hsa-mir-548s,hsa-mir-548s,grey,0.033415393,0.67878828,0.079557338,0.323522502,0.227563814,0.004276731,0.255315576,0.001296619
hsa-mir-454,hsa-mir-454,grey,0.033243163,0.68035293,0.208467328,0.009012676,0.388008447,5.59E-07,0.294000734,0.000195155
hsa-mir-217,hsa-mir-217,grey,-0.032665607,0.685609774,-0.092462437,0.250956728,-0.221130412,0.005534899,0.029827366,0.711658376
hsa-mir-3125,hsa-mir-3125,grey,-0.032617128,0.686051715,0.161440844,0.044071959,0.205381871,0.010109311,0.119078156,0.138713882
hsa-mir-193b,hsa-mir-193b,grey,0.032453538,0.6875438,-0.025301744,0.753880081,0.144392898,0.072113825,0.039852028,0.621345172
hsa-mir-3180-4,hsa-mir-3180-4,grey,-0.032320653,0.688756717,-0.046165012,0.567139932,0.062925486,0.43516021,0.057279373,0.47754987
hsa-mir-183,hsa-mir-183,grey,-0.032217793,0.689696128,0.117128429,0.145341452,0.219181587,0.005976465,0.276855953,0.00046742
hsa-mir-3654,hsa-mir-3654,grey,-0.032200249,0.689856405,-0.087074037,0.279758475,-0.056510662,0.483489255,-0.129503066,0.107119419
hsa-mir-147,hsa-mir-147,grey,0.032142475,0.690384298,-0.063434431,0.431447849,0.015285137,0.849789547,0.101580535,0.207019611
hsa-mir-2110,hsa-mir-2110,grey,0.032018196,0.691520376,-0.069197244,0.390698212,0.129686444,0.10661904,0.108859401,0.176138022
hsa-mir-466,hsa-mir-466,grey,-0.031965384,0.692003357,0.082168464,0.307844462,0.116481628,0.147592305,0.109933253,0.171886405
hsa-mir-3681,hsa-mir-3681,grey,-0.031844246,0.693111667,0.039282522,0.626342968,0.045655077,0.571433985,0.324010789,3.69E-05
hsa-mir-1911,hsa-mir-1911,grey,0.03055003,0.704992824,0.215225465,0.006970662,0.235494441,0.003082327,0.643875426,1.23E-19
hsa-mir-548l,hsa-mir-548l,grey,-0.030078029,0.70934386,0.1581398,0.048643274,0.165079971,0.039454309,0.179066999,0.025308002
hsa-mir-1294,hsa-mir-1294,grey,0.029513536,0.714559854,0.078112099,0.332417851,0.256727811,0.001215835,0.087372262,0.278108525
hsa-mir-27a,hsa-mir-27a,grey,-0.029220746,0.717270511,0.151752164,0.058609977,0.373646313,1.55E-06,0.219834482,0.00582515
hsa-mir-1323,hsa-mir-1323,grey,-0.028401268,0.724875905,0.102163515,0.204411521,0.265466005,0.000810147,0.480405953,2.20E-10
hsa-mir-483,hsa-mir-483,grey,0.028247827,0.726302979,0.062877003,0.435514809,0.042792462,0.595819235,-0.012979611,0.872236551
hsa-mir-449a,hsa-mir-449a,grey,0.028189673,0.726844081,-0.067534782,0.402209249,0.076675783,0.341411752,-0.13658509,0.089092465
hsa-mir-551a,hsa-mir-551a,grey,0.028039893,0.728238366,0.073993635,0.358615377,0.170318049,0.033526595,0.322731647,3.97E-05
hsa-mir-124-1,hsa-mir-124-1,grey,0.027667549,0.731708307,0.258805757,0.001105318,0.283923467,0.000328288,0.387348702,5.87E-07
hsa-mir-452,hsa-mir-452,grey,0.026977636,0.738152064,0.160586644,0.045218975,0.487005843,1.14E-10,0.232207372,0.003535037
hsa-mir-148a,hsa-mir-148a,grey,0.026885721,0.739011931,0.036988046,0.646649298,-0.050088205,0.534625929,0.21155892,0.008020709
hsa-mir-3175,hsa-mir-3175,grey,0.026705235,0.740701333,0.019224721,0.811720111,-0.052099416,0.518326669,0.094992201,0.238167466
hsa-mir-503,hsa-mir-503,grey,0.026696408,0.740783986,0.153839677,0.055182837,0.350394947,7.32E-06,0.220147745,0.00575377
hsa-mir-335,hsa-mir-335,grey,0.026658287,0.741140981,0.230651688,0.00376949,0.34813904,8.45E-06,0.116275089,0.148316588
hsa-mir-33b,hsa-mir-33b,grey,0.026577288,0.741899702,0.191684678,0.016522781,0.130772019,0.103694333,0.219395582,0.005926488
hsa-mir-639,hsa-mir-639,grey,-0.026447542,0.74311555,0.194436552,0.015005772,0.353309039,6.06E-06,0.174030102,0.029798253
